                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4339,                 2.8267,                 2.9023,                0.44693,                0.48924,                0.43879,                0.29204,                 1.0395,                 1.8858,                 3.0908,              0.0033294,              0.0033294,              0.0033294
                      2,                 1.0972,                 1.9307,                 2.6684,                0.65736,                0.55532,                0.64172,                0.48031,                0.86113,                 1.4036,                 2.9138,              0.0065968,              0.0065968,              0.0065968
                      3,                 1.0517,                 1.7432,                 2.6189,                0.59673,                0.57118,                0.60617,                0.44209,                0.96181,                 1.4868,                 2.9463,              0.0097982,              0.0097982,              0.0097982
                      4,                 1.0202,                 1.6824,                 2.5782,                0.68742,                0.59296,                0.68476,                0.53336,                0.80376,                 1.2918,                 2.8534,               0.009703,               0.009703,               0.009703
                      5,                0.96599,                 1.5746,                 2.5553,                0.70123,                0.64844,                0.71877,                0.57396,                0.73111,                 1.1628,                 2.7526,               0.009604,               0.009604,               0.009604
                      6,                0.91414,                 1.4586,                 2.5065,                0.77317,                 0.6612,                0.76877,                0.62483,                0.69117,                 1.0757,                 2.7237,               0.009505,               0.009505,               0.009505
                      7,                0.89561,                 1.4146,                   2.49,                0.76371,                0.69651,                0.77838,                0.65584,                0.62965,                0.99432,                 2.6469,               0.009406,               0.009406,               0.009406
                      8,                0.86622,                 1.3537,                 2.4537,                0.77771,                0.70092,                0.79951,                0.67213,                0.63022,                0.94823,                 2.6287,               0.009307,               0.009307,               0.009307
                      9,                0.83867,                 1.2984,                 2.4493,                0.81692,                0.69956,                0.81695,                0.69715,                0.60042,                 0.9014,                 2.5982,               0.009208,               0.009208,               0.009208
                     10,                0.82936,                 1.2594,                 2.4251,                0.83946,                0.74268,                 0.8466,                 0.7231,                0.57996,                0.83816,                 2.5526,               0.009109,               0.009109,               0.009109
                     11,                0.80848,                  1.222,                 2.4051,                0.80757,                0.78008,                0.84803,                0.73449,                 0.5476,                0.79968,                 2.5182,                0.00901,                0.00901,                0.00901
                     12,                0.79513,                 1.1954,                 2.3902,                0.86192,                0.76416,                0.86719,                 0.7524,                0.55413,                0.75902,                 2.5238,               0.008911,               0.008911,               0.008911
                     13,                0.77961,                 1.1629,                 2.3736,                0.83602,                0.74669,                0.85724,                0.74195,                 0.5521,                0.80134,                 2.5274,               0.008812,               0.008812,               0.008812
                     14,                0.76956,                 1.1415,                 2.3794,                0.83928,                 0.7728,                0.85834,                0.75279,                0.51908,                0.75583,                 2.5094,               0.008713,               0.008713,               0.008713
                     15,                0.76088,                 1.1095,                 2.3686,                0.85462,                0.76255,                 0.8702,                0.76757,                0.49942,                0.72586,                 2.4862,               0.008614,               0.008614,               0.008614
